Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61714633,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"Grann, David",,"=""0385534264""","=""9780385534260""",0,4.20,Doubleday,Hardcover,331,2023,2023,,2024/06/04,to-read,to-read (#901),to-read,,,,0,0
6041689,"A Clash of Kings (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.42,Bantam Books,Trade Paperback,969,2005,1998,2023/03/21,2022/11/07,favorites,favorites (#69),read,,,,1,0
13422727,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""0553801473""","=""9780553801477""",5,4.34,Bantam,Hardcover,1016,2011,2011,2023/04/17,2023/04/02,,,read,"Think it lagged at times with too many POVs and slow pacing but multiple points made up for it – especially several bits at the end. Feels especially character focused, which I don’t find to be that annoying, as the characters are well written and interesting. 4.5 stars.",,,1,0
18773649,"A Feast for Crows (A Song of Ice & Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""0553390562""","=""9780553390568""",4,4.16,Bantam,Mass Market Paperback,1104,2014,2005,2023/04/02,2023/03/28,favorites,favorites (#67),read,,,,1,0
17288831,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""034554398X""","=""9780345543981""",5,4.54,Bantam,Mass Market Paperback,1177,2013,2000,2023/03/28,2023/03/21,favorites,favorites (#66),read,,,,1,0
17927395,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",5,4.65,Bloomsbury USA Childrens,Kindle Edition,626,2016,2016,2019/02/27,2019/03/03,favorites,favorites (#65),read,,,,2,0
6395833,Guts,Chuck Palahniuk,"Palahniuk, Chuck",,"=""""","=""""",3,3.88,,,16,,2004,2023/09/02,2023/09/02,,,read,Read this while eating. Do not recommend. Genuinely the only book I've ever read that literally made me nauseous. 3 stars.,,,1,0
54846777,FOG[电竞],Man Man He Qi Duo,"Duo, Man Man He Qi",漫漫何其多,"=""""","=""""",0,4.31,晋江文学城,Web Novel,1741,2019,,,2024/06/04,to-read,to-read (#900),to-read,,,,0,0
198861748,"War Hour (The Broken Trials, #1)",Lauren Loscig,"Loscig, Lauren",,"=""""","=""9798988101802""",0,4.11,LNL Publishing LLC,Kindle Edition,396,2023,,,2024/06/04,to-read,to-read (#899),to-read,,,,0,0
58736842,"A Light in the Sky (Clashing Skies, #1)",Shina Reynolds,"Reynolds, Shina",,"=""1733451110""","=""9781733451116""",0,3.83,Wink Road Press,Paperback,420,2021,2021,,2024/06/04,to-read,to-read (#898),to-read,,,,0,0
61398894,"Villains Are Destined to Die, Vol. 1 (Villains Are Destined to Die, 1)",Gwon Gyeoeul,"Gyeoeul, Gwon","SUOL, David Odell","=""""","=""9798400900006""",0,4.49,Ize Press,Paperback,264,2022,2021,,2024/06/04,to-read,to-read (#897),to-read,,,,0,0
42385018,"Minimum Wage Magic (DFZ, #1)",Rachel Aaron,"Aaron, Rachel",,"=""1952367344""","=""9781952367342""",0,4.16,Aaron/Bach,Kindle Edition,293,2018,2018,,2024/06/04,to-read,to-read (#896),to-read,,,,0,0
